B.Baria,AB Bank Limited,92736.75
B.Baria,Bangladesh Commerce Bank Limited,101060.25
B.Baria,Bank Asia Limited,102253.75
B.Baria,Bengal Commercial Bank Ltd,101446.75
B.Baria,BRAC Bank Limited,98500.00
B.Baria,Citizens Bank Limited,101907.75
B.Baria,City Bank Limited,97323.00
B.Baria,Community Bank Bangladesh Limited,101299.00
B.Baria,Dhaka Bank Limited,101497.75
B.Baria,Dutch-Bangla Bank Limited,95764.25
B.Baria,Eastern Bank Limited,108028.75
B.Baria,IFIC Bank Limited,97667.75
B.Baria,Jamuna Bank Limited,101583.25
B.Baria,Meghna Bank Limited,104909.50
B.Baria,Mercantile Bank Limited,104919.25
B.Baria,Midland Bank Limited,107072.25
B.Baria,Modhumoti Bank Limited,104414.50
B.Baria,Mutual Trust Bank Limited,101599.50
B.Baria,National Bank Limited,96329.00
B.Baria,National Credit & Commerce Bank Limited,95092.50
B.Baria,None,103263.25
B.Baria,NRB Bank Limited,108144.00
B.Baria,NRB Commercial Bank Ltd,92261.75
B.Baria,NRB Global Bank Ltd,101225.00
B.Baria,One Bank Limited,98669.75
B.Baria,Padma Bank Limited,92631.50
B.Baria,Premier Bank Limited,102504.75
B.Baria,Prime Bank Limited,100016.00
B.Baria,Pubali Bank Limited,99005.00
B.Baria,Shimanto Bank Ltd,106100.00
B.Baria,South Bangla Agriculture and Commerce Bank Limited,102124.25
B.Baria,Southeast Bank Limited,99509.25
B.Baria,Standard Bank Limited,96633.00
B.Baria,Trust Bank Limited,105012.75
B.Baria,United Commercial Bank Ltd,100534.50
B.Baria,Uttara Bank Limited,95852.00
B.Baria,,3618892.25
Barishal,AB Bank Limited,103379.50
Barishal,Bangladesh Commerce Bank Limited,103052.25
Barishal,Bank Asia Limited,105484.00
Barishal,Bengal Commercial Bank Ltd,108714.25
Barishal,BRAC Bank Limited,97854.75
Barishal,Citizens Bank Limited,104759.00
Barishal,City Bank Limited,95032.50
Barishal,Community Bank Bangladesh Limited,103134.25
Barishal,Dhaka Bank Limited,97021.25
Barishal,Dutch-Bangla Bank Limited,97326.50
Barishal,Eastern Bank Limited,106439.25
Barishal,IFIC Bank Limited,104368.50
Barishal,Jamuna Bank Limited,97278.25
Barishal,Meghna Bank Limited,101551.25
Barishal,Mercantile Bank Limited,98305.75
Barishal,Midland Bank Limited,102197.50
Barishal,Modhumoti Bank Limited,98945.50
Barishal,Mutual Trust Bank Limited,102279.25
Barishal,National Bank Limited,95959.75
Barishal,National Credit & Commerce Bank Limited,100239.25
Barishal,None,99295.25
Barishal,NRB Bank Limited,96912.75
Barishal,NRB Commercial Bank Ltd,99782.50
Barishal,NRB Global Bank Ltd,106314.00
Barishal,One Bank Limited,102962.00
Barishal,Padma Bank Limited,98965.00
Barishal,Premier Bank Limited,102558.75
Barishal,Prime Bank Limited,108948.50
Barishal,Pubali Bank Limited,103517.25
Barishal,Shimanto Bank Ltd,95007.50
Barishal,South Bangla Agriculture and Commerce Bank Limited,99606.50
Barishal,Southeast Bank Limited,100431.50
Barishal,Standard Bank Limited,101562.00
Barishal,Trust Bank Limited,97482.75
Barishal,United Commercial Bank Ltd,96934.50
Barishal,Uttara Bank Limited,89186.75
Barishal,,3622790.00
Chadpur,AB Bank Limited,107465.00
Chadpur,Bangladesh Commerce Bank Limited,100346.25
Chadpur,Bank Asia Limited,90839.50
Chadpur,Bengal Commercial Bank Ltd,105855.75
Chadpur,BRAC Bank Limited,94630.25
Chadpur,Citizens Bank Limited,107369.50
Chadpur,City Bank Limited,96161.25
Chadpur,Community Bank Bangladesh Limited,102581.75
Chadpur,Dhaka Bank Limited,96348.75
Chadpur,Dutch-Bangla Bank Limited,97815.25
Chadpur,Eastern Bank Limited,110327.50
Chadpur,IFIC Bank Limited,103277.75
Chadpur,Jamuna Bank Limited,94919.25
Chadpur,Meghna Bank Limited,99077.50
Chadpur,Mercantile Bank Limited,99099.25
Chadpur,Midland Bank Limited,97456.00
Chadpur,Modhumoti Bank Limited,96283.25
Chadpur,Mutual Trust Bank Limited,107144.50
Chadpur,National Bank Limited,98068.75
Chadpur,National Credit & Commerce Bank Limited,106937.75
Chadpur,None,91822.00
Chadpur,NRB Bank Limited,95966.25
Chadpur,NRB Commercial Bank Ltd,100185.75
Chadpur,NRB Global Bank Ltd,103406.25
Chadpur,One Bank Limited,98052.75
Chadpur,Padma Bank Limited,95778.00
Chadpur,Premier Bank Limited,102520.75
Chadpur,Prime Bank Limited,100807.75
Chadpur,Pubali Bank Limited,97269.50
Chadpur,Shimanto Bank Ltd,103271.75
Chadpur,South Bangla Agriculture and Commerce Bank Limited,97317.50
Chadpur,Southeast Bank Limited,98908.50
Chadpur,Standard Bank Limited,95789.75
Chadpur,Trust Bank Limited,107907.00
Chadpur,United Commercial Bank Ltd,102345.00
Chadpur,Uttara Bank Limited,101680.00
Chadpur,,3605033.25
Comilla,AB Bank Limited,109214.25
Comilla,Bangladesh Commerce Bank Limited,94202.50
Comilla,Bank Asia Limited,93584.00
Comilla,Bengal Commercial Bank Ltd,104736.00
Comilla,BRAC Bank Limited,99184.75
Comilla,Citizens Bank Limited,102199.00
Comilla,City Bank Limited,102677.75
Comilla,Community Bank Bangladesh Limited,103100.00
Comilla,Dhaka Bank Limited,107831.25
Comilla,Dutch-Bangla Bank Limited,102743.25
Comilla,Eastern Bank Limited,99229.75
Comilla,IFIC Bank Limited,105697.25
Comilla,Jamuna Bank Limited,96269.50
Comilla,Meghna Bank Limited,98876.50
Comilla,Mercantile Bank Limited,100899.75
Comilla,Midland Bank Limited,102797.50
Comilla,Modhumoti Bank Limited,107391.50
Comilla,Mutual Trust Bank Limited,94445.25
Comilla,National Bank Limited,97722.25
Comilla,National Credit & Commerce Bank Limited,100031.25
